Κωδικός,Τίτλος,Συγγραφείς,Έτος,Σύνδεσμος,Τύπος,Θέματα,Κατάσταση,Επιβεβαίωση,Προτεραιότητα,Σημειώσεις
SRC-13B66B20D8,BALLOCH-DISSERTATION-2024.pdf,,2024,,διπλωματική ή διατριβή,GridWorld; ενισχυτική μάθηση με μοντέλο; περιβάλλοντα και benchmarks,διαθέσιμο πλήρες κείμενο,εκκρεμεί,υψηλή,
SRC-153C917DE1,https---proceedings.mlr.press-v199-luketina22a-luketina22a.pdf,,2018,https://proceedings.mlr.press/v199/luketina22a/luketina22a.pdf,ακαδημαϊκή εργασία,μη στασιμότητα; GridWorld; βαθιά ενισχυτική μάθηση,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
SRC-19858252B7,Reinforcement Learning by Guided Safe Exploration,Qisong Yang; Thiago D. Simão; Nils Jansen; Simon H. Tindemans; Matthijs T. J. Spaan,2023,https://arxiv.org/abs/2307.14316,ακαδημαϊκή εργασία,ασφαλής ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,χαμηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-2307.14316
SRC-19C2E91926,Benchmark for Out-of-Distribution Detection in Deep Reinforcement Learning,Aaqib Parvez Mohammed; Matias Valdenegro-Toro,2021,https://arxiv.org/abs/2112.02694,ακαδημαϊκή εργασία,βαθιά ενισχυτική μάθηση; στατιστική αξιολόγηση; περιβάλλοντα και benchmarks,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-2112.02694
SRC-1B40F8B37A,Parallel Knowledge Transfer in Multi-Agent Reinforcement Learning,Yongyuan Liang; Bangwei Li,2020,https://arxiv.org/abs/2003.13085,ακαδημαϊκή εργασία,ανθεκτικότητα και ανάκαμψη; μη στασιμότητα; μερική παρατηρησιμότητα; βαθιά ενισχυτική μάθηση; συνεχής προσαρμογή,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,
SRC-1FE2A54527,Robust Adversarial Reinforcement Learning,Lerrel Pinto; James Davidson; Rahul Sukthankar; Abhinav Gupta,2017,https://proceedings.mlr.press/v70/pinto17a/pinto17a.pdf,ακαδημαϊκή εργασία,εύρωστη ενισχυτική μάθηση; αβεβαιότητα μεταβάσεων; βαθιά ενισχυτική μάθηση; περιβάλλοντα και benchmarks,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,"Metadata verified from the paper first page: Proceedings of ICML 2017, PMLR 70. | Full-text bibliographic metadata independently verified from the primary PMLR paper; catalog verification field uses the controlled link-level vocabulary."
SRC-211B10ADBA,A Survey Analyzing Generalization in Deep Reinforcement Learning,Ezgi Korkmaz,2024,https://arxiv.org/abs/2401.02349,ακαδημαϊκή εργασία,μη στασιμότητα; πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση; συνεχής προσαρμογή,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-2401.02349 | Αυτόματη διόρθωση παλιού έτους: 1989
SRC-21EBE15D15,A Survey of Zero-shot Generalisation in Deep Reinforcement Learning,Robert Kirk; Amy Zhang; Edward Grefenstette; Tim Rocktäschel,2021,https://arxiv.org/abs/2111.09794,ακαδημαϊκή εργασία,μερική παρατηρησιμότητα; βαθιά ενισχυτική μάθηση; συνεχής προσαρμογή; περιβάλλοντα και benchmarks; πράκτορες τεχνητής νοημοσύνης,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,χαμηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-2111.09794
SRC-23A2C07D09,A Formal Verification Framework for Runtime Assurance - NASA Technical Reports Server (NTRS),,2023,https://ntrs.nasa.gov/citations/20230017350,θεσμική ή τεχνική αναφορά,χωρίς κατηγορία,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,χαμηλή,
SRC-23E79861CF,Multi-model Partially Observable Markov Decision Processes - Optimization Online,,2023,https://optimization-online.org/wp-content/uploads/2023/04/MPOMDP_INFORMS_JOC_OptOnline_copy-2.pdf,ακαδημαϊκή εργασία,μη στασιμότητα; μερική παρατηρησιμότητα; στατιστική αξιολόγηση,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
SRC-2455B5D0A7,A Comprehensive Survey on Test-Time Adaptation under Distribution Shifts,Jian Liang; Ran He; Tieniu Tan,2023,https://arxiv.org/abs/2303.15361,ακαδημαϊκή εργασία,ανθεκτικότητα και ανάκαμψη,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,"Αυτόματη διόρθωση παλιού τίτλου: A Comprehensive Survey on Test-Time Adaptation under Distribution Shifts (Liang et al., 2023)"
SRC-2C9FFED27E,Efficient Policy Optimization in Robust Constrained MDPs with Iteration Complexity Guarantees - NIPS,"Sourav Ganguly, Kishan Panaganti, Arnob Ghosh, Adam Wierman",2025,https://proceedings.neurips.cc/paper_files/paper/2025/file/0d7a32dbc94af8193b9bb9e798e4f4a8-Paper-Conference.pdf,ακαδημαϊκή εργασία,εύρωστη ενισχυτική μάθηση; GridWorld; ασφαλής ενισχυτική μάθηση; πινακοποιημένη ενισχυτική μάθηση,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
SRC-327CD7B903,Quantitative Resilience Modeling for Autonomous Cyber Defense,Xavier Cadet; Simona Boboila; Edward Koh; Peter Chin; Alina Oprea,2025,https://rlj.cs.umass.edu/2025/papers/Paper99.html,ακαδημαϊκή εργασία,ανθεκτικότητα και ανάκαμψη; στατιστική αξιολόγηση,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
SRC-32A0866AF8,https---eclass.uoa.gr-modules-document-file.php-DI437-1312.5602.pdf,,,https://eclass.uoa.gr/modules/document/file.php/DI437/1312.5602.pdf,ακαδημαϊκή εργασία,μη στασιμότητα; πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
SRC-3856071502,Bayesian Online Changepoint Detection,Ryan Prescott Adams; David J. C. MacKay,2007,https://arxiv.org/abs/0710.3742,ακαδημαϊκή εργασία,χωρίς κατηγορία,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,χαμηλή,"Αυτόματη διόρθωση παλιού τίτλου: Bayesian Online Changepoint Detection (Adams & MacKay, 2007)"
SRC-39696F490F,Towards Continual Reinforcement Learning: A Review and Perspectives,Khimya Khetarpal; Matthew Riemer; Irina Rish; Doina Precup,2020,https://arxiv.org/abs/2012.13490,ακαδημαϊκή εργασία,μη στασιμότητα; GridWorld; συνεχής προσαρμογή,ελλιπές κείμενο,επιβεβαιωμένη μέσω arXiv,χρειάζεται διόρθωση,Αυτόματη διόρθωση παλιού έτους: 2012
SRC-3A5E2C9E2C,"A Review of Safe Reinforcement Learning: Methods, Theory and Applications",Shangding Gu; Long Yang; Yali Du; Guang Chen; Florian Walter; Jun Wang; Alois Knoll,2022,https://arxiv.org/abs/2205.10330,ακαδημαϊκή εργασία,GridWorld; ασφαλής ενισχυτική μάθηση; περιβάλλοντα και benchmarks; πράκτορες τεχνητής νοημοσύνης,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-2205.10330
SRC-3BF9404CC3,Learning to Recover for Safe Reinforcement Learning,Haoyu Wang; Xin Yuan; Qinqing Ren,2023,https://arxiv.org/abs/2309.11907,ακαδημαϊκή εργασία,ανθεκτικότητα και ανάκαμψη; ασφαλής ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-2309.11907 | Αυτόματη διόρθωση παλιού έτους: 2018
SRC-3C0F7CC819,Online Robust Reinforcement Learning with Model Uncertainty,Yue Wang; Shaofeng Zou,2021,https://arxiv.org/abs/2109.14523,ακαδημαϊκή εργασία,εύρωστη ενισχυτική μάθηση; πινακοποιημένη ενισχυτική μάθηση,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,
SRC-3C543330E4,https---proceedings.mlr.press-v237-peng24a-peng24a.pdf,,2024,https://proceedings.mlr.press/v237/peng24a/peng24a.pdf,ακαδημαϊκή εργασία,μη στασιμότητα; στατιστική αξιολόγηση,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
SRC-3EA1176D3A,Solving robust MDPs as a sequence of static RL problems,Adil Zouitine; Matthieu Geist; Emmanuel Rachelson,2024,https://arxiv.org/abs/2410.06212,ακαδημαϊκή εργασία,εύρωστη ενισχυτική μάθηση; ανθεκτικότητα και ανάκαμψη; μη στασιμότητα; αβεβαιότητα ενεργειών; μερική παρατηρησιμότητα; πινακοποιημένη ενισχυτική μάθηση; περιβάλλοντα και benchmarks; πράκτορες τεχνητής νοημοσύνης,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,
SRC-3F84F52F97,CARL: A Benchmark for Contextual and Adaptive Reinforcement Learning,Carolin Benjamins; Theresa Eimer; Frederik Schubert; André Biedenkapp; Bodo Rosenhahn; Frank Hutter; Marius Lindauer,2021,https://arxiv.org/abs/2110.02102,ακαδημαϊκή εργασία,GridWorld; βαθιά ενισχυτική μάθηση; περιβάλλοντα και benchmarks,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-2110.02102
SRC-4000D2B40A,Behaviour Suite for Reinforcement Learning,Ian Osband; Yotam Doron; Matteo Hessel; John Aslanides; Eren Sezener; Andre Saraiva; Katrina McKinney; Tor Lattimore; Csaba Szepesvari; Satinder Singh; Benjamin Van Roy; Richard Sutton; David Silver; Hado Van Hasselt,2019,https://arxiv.org/abs/1908.03568,ακαδημαϊκή εργασία,GridWorld; βαθιά ενισχυτική μάθηση; περιβάλλοντα και benchmarks,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-1908.03568
SRC-46CF36BC1E,The Primacy Bias in Deep Reinforcement Learning,,2022,https://proceedings.mlr.press/v162/nikishin22a.html,ακαδημαϊκή εργασία,βαθιά ενισχυτική μάθηση,ελλιπές κείμενο,μόνο καταγεγραμμένος σύνδεσμος,χρειάζεται διόρθωση,
SRC-486FAE4C93,Artificial Intelligence Risk Management Framework (AI RMF 1.0) NIST AI 100-1,National Institute of Standards and Technology (NIST),2023,https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf,θεσμική ή τεχνική αναφορά,ανθεκτικότητα και ανάκαμψη; διακυβέρνηση και ηθική,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
SRC-4B456A9363,https---proceedings.mlr.press-v202-feng23e-feng23e.pdf,,2018,https://proceedings.mlr.press/v202/feng23e/feng23e.pdf,ακαδημαϊκή εργασία,μη στασιμότητα; πινακοποιημένη ενισχυτική μάθηση; περιβάλλοντα και benchmarks,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
SRC-4C34DF3E17,Loss of plasticity in deep continual learning,Shibhansh Dohare; J. Fernando Hernandez-Garcia; Qingfeng Lan; Parash Rahman; A. Rupam Mahmood; Richard S. Sutton,2024,https://doi.org/10.1038/s41586-024-07711-7,ακαδημαϊκή εργασία,μη στασιμότητα; βαθιά ενισχυτική μάθηση; συνεχής προσαρμογή,ελλιπές κείμενο,επιβεβαιωμένη μέσω Crossref,χρειάζεται διόρθωση,
SRC-4D2B7DDC38,Distributionally Robust Reinforcement Learning with Interactive Data Collection: Fundamental Hardness and Near-Optimal Algorithms,Miao Lu; Han Zhong; Tong Zhang; Jose Blanchet,2024,https://arxiv.org/abs/2404.03578,ακαδημαϊκή εργασία,εύρωστη ενισχυτική μάθηση; ανθεκτικότητα και ανάκαμψη; πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση; στατιστική αξιολόγηση; πράκτορες τεχνητής νοημοσύνης,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-2404.03578
SRC-4E5300CD15,Online Robust Planning Under Model Uncertainty: A Sample-Based Approach,"Tamir Shazman, Idan Lev-Yehudi, Ron Benchetrit, Vadim Indelman",1987,https://ojs.aaai.org/index.php/AAAI/article/view/40959/44920,ακαδημαϊκή εργασία,εύρωστη ενισχυτική μάθηση; αβεβαιότητα μεταβάσεων; μερική παρατηρησιμότητα,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
SRC-4ED8B918E3,Empirical Design in Reinforcement Learning,,2024,https://jmlr.org/papers/volume25/23-0183/23-0183.pdf,ιστοσελίδα,στατιστική αξιολόγηση,ελλιπές κείμενο,μόνο καταγεγραμμένος σύνδεσμος,χρειάζεται διόρθωση,
SRC-52E62452B8,https---people.eecs.berkeley.edu-~elghaoui-Pubs-RobMDP OR2005.pdf,,2005,https://people.eecs.berkeley.edu/~elghaoui/Pubs/RobMDP_OR2005.pdf,ιστοσελίδα,αβεβαιότητα μεταβάσεων; πινακοποιημένη ενισχυτική μάθηση; στατιστική αξιολόγηση,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,μεσαία,
SRC-5775601BD7,https---proceedings.mlr.press-v232-abbas23a-abbas23a.pdf,,2022,https://proceedings.mlr.press/v232/abbas23a/abbas23a.pdf,ακαδημαϊκή εργασία,ανθεκτικότητα και ανάκαμψη; μη στασιμότητα; πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση; περιβάλλοντα και benchmarks,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
SRC-5D0E7E5BD7,Implementation Matters in Deep Policy Gradients: A Case Study on PPO and TRPO,Logan Engstrom; Andrew Ilyas; Shibani Santurkar; Dimitris Tsipras; Firdaus Janoos; Larry Rudolph; Aleksander Madry,2020,https://arxiv.org/abs/2005.12729,ακαδημαϊκή εργασία,βαθιά ενισχυτική μάθηση,ελλιπές κείμενο,επιβεβαιωμένη μέσω arXiv,χρειάζεται διόρθωση,Αυτόματη διόρθωση παλιού έτους: 2005
SRC-5E062C81BA,https---proceedings.nips.cc-paper files-paper-2000-file-e8dfff4676a47048d6f0c4ef899593dd-Paper.pdf,,2000,https://proceedings.nips.cc/paper_files/paper/2000/file/e8dfff4676a47048d6f0c4ef899593dd-Paper.pdf,ακαδημαϊκή εργασία,εύρωστη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
SRC-6126015212,https---proceedings.mlr.press-v119-wachi20a-wachi20a.pdf,,2020,https://proceedings.mlr.press/v119/wachi20a/wachi20a.pdf,ακαδημαϊκή εργασία,ασφαλής ενισχυτική μάθηση; στατιστική αξιολόγηση,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
SRC-620F17076C,Robust Deep Reinforcement Learning against Adversarial Perturbations on State Observations,Huan Zhang; Hongge Chen; Chaowei Xiao; Bo Li; Mingyan Liu; Duane Boning; Cho-Jui Hsieh,2020,https://arxiv.org/abs/2003.08938,ακαδημαϊκή εργασία,εύρωστη ενισχυτική μάθηση; μη στασιμότητα; αβεβαιότητα παρατηρήσεων; μερική παρατηρησιμότητα; πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση; πράκτορες τεχνητής νοημοσύνης,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-2003.08938 | Αυτόματη διόρθωση παλιού έτους: 2003
SRC-62996FD690,Uncertainty-Based Out-of-Distribution Detection in Deep Reinforcement Learning,Andreas Sedlmeier; Thomas Gabor; Thomy Phan; Lenz Belzner; Claudia Linnhoff-Popien,2019,https://arxiv.org/abs/1901.02219,ακαδημαϊκή εργασία,GridWorld; πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση; στατιστική αξιολόγηση; περιβάλλοντα και benchmarks,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-1901.02219
SRC-630F83DAD7,Leveraging Procedural Generation to Benchmark Reinforcement Learning,Karl Cobbe; Christopher Hesse; Jacob Hilton; John Schulman,2019,https://arxiv.org/abs/1912.01588,ακαδημαϊκή εργασία,βαθιά ενισχυτική μάθηση; περιβάλλοντα και benchmarks,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,χαμηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-1912.01588 | Αυτόματη διόρθωση παλιού έτους: 1912
SRC-660560956D,https---proceedings.mlr.press-v199-steinparz22a-steinparz22a.pdf,,2004,https://proceedings.mlr.press/v199/steinparz22a/steinparz22a.pdf,ακαδημαϊκή εργασία,ανθεκτικότητα και ανάκαμψη; μη στασιμότητα; GridWorld; μερική παρατηρησιμότητα; πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση; συνεχής προσαρμογή; στατιστική αξιολόγηση,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
SRC-6609D86CD5,Reinforcement learning in nonstationary environments,Ping-Man Choi,None,https://doi.org/10.14711/thesis-b655883,ακαδημαϊκή εργασία,μη στασιμότητα; μερική παρατηρησιμότητα,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω Crossref,μεσαία,Αυτόματη διόρθωση παλιού τίτλου: Reinforcement learning in nonstationary environments - The Hong Kong University of Science and Techn | Αυτόματη διόρθωση παλιού έτους: 2000
SRC-67AB8572A9,Transfer Learning in Deep Reinforcement Learning: A Survey,Zhuangdi Zhu; Kaixiang Lin; Anil K. Jain; Jiayu Zhou,2020,https://arxiv.org/abs/2009.07888,ακαδημαϊκή εργασία,μη στασιμότητα; πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση; συνεχής προσαρμογή; περιβάλλοντα και benchmarks,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,"Αυτόματη διόρθωση παλιού τίτλου: Transfer Learning in Deep Reinforcement Learning- A Survey (Zhu et al., 2021) | Αυτόματη διόρθωση παλιού έτους: 2021"
SRC-69D02D7E25,Time Limits in Reinforcement Learning,,2018,https://proceedings.mlr.press/v80/pardo18a.html,ακαδημαϊκή εργασία,GridWorld,ελλιπές κείμενο,μόνο καταγεγραμμένος σύνδεσμος,χρειάζεται διόρθωση,
SRC-6E7AFA8AC0,https---zhangliangyu32.github.io-files-papers-RobustMDP2022.pdf,,2022,https://zhangliangyu32.github.io/files/papers/RobustMDP2022.pdf,ιστοσελίδα,εύρωστη ενισχυτική μάθηση; ενισχυτική μάθηση με μοντέλο; στατιστική αξιολόγηση,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,μεσαία,
SRC-6F4B8E8DCE,Safe Exploration in Reinforcement Learning: A Generalized Formulation and Algorithms,Akifumi Wachi; Wataru Hashimoto; Xun Shen; Kazumune Hashimoto,2023,https://arxiv.org/abs/2310.03225,ακαδημαϊκή εργασία,ασφαλής ενισχυτική μάθηση; περιβάλλοντα και benchmarks,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,χαμηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-2310.03225
SRC-6F4F8BE003,Online Reinforcement Learning in Non-Stationary Context-Driven Environments,Pouya Hamadanian; Arash Nasr-Esfahany; Malte Schwarzkopf; Siddhartha Sen; Mohammad Alizadeh,2025,https://proceedings.iclr.cc/paper_files/paper/2025/hash/fb21dae9e8710a272c0a0ca848f71553-Abstract-Conference.html,ιστοσελίδα,μη στασιμότητα; συνεχής προσαρμογή,ελλιπές κείμενο,μόνο καταγεγραμμένος σύνδεσμος,χρειάζεται διόρθωση,
SRC-701E163AC8,http---incompleteideas.net-book-RLbook2020.pdf,,2018,http://incompleteideas.net/book/RLbook2020.pdf,βιβλίο ή κεφάλαιο,μη στασιμότητα; πινακοποιημένη ενισχυτική μάθηση,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,μεσαία,
SRC-702F9AB94C,https---proceedings.mlr.press-v168-sodhani22a-sodhani22a.pdf,,2022,https://proceedings.mlr.press/v168/sodhani22a/sodhani22a.pdf,ακαδημαϊκή εργασία,μη στασιμότητα; μερική παρατηρησιμότητα; συνεχής προσαρμογή,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
SRC-70772C0629,Reinforcement Learning in Switching Non-Stationary Markov Decision Processes: Algorithms and Convergence Analysis,Mohsen Amiri; Sindri Magnússon,2025,https://arxiv.org/abs/2503.18607,ακαδημαϊκή εργασία,μη στασιμότητα; πινακοποιημένη ενισχυτική μάθηση,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,"Αυτόματη πλήρης μετατροπή PDF· ο ανθρώπινος έλεγχος του πρωτοτύπου, της ανάλυσης και του evidence ολοκληρώθηκε στις 2026-08-03"
