Κωδικός,Ρόλος,Κατάσταση,Κεφάλαια,Θέματα,Εξαγωγή,Σημείωση,Τίτλος,Σύνδεσμος,Commit βιβλιογραφίας
SRC-1B40F8B37A,υποστηρικτική,επαληθευμένη,,ανθεκτικότητα και ανάκαμψη; μη στασιμότητα; μερική παρατηρησιμότητα; βαθιά ενισχυτική μάθηση; συνεχής προσαρμογή,ναι,Συγχρονισμός από canonical analysis.,Parallel Knowledge Transfer in Multi-Agent Reinforcement Learning,https://arxiv.org/abs/2003.13085,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-1FE2A54527,κύρια,επαληθευμένη,,εύρωστη ενισχυτική μάθηση; αβεβαιότητα μεταβάσεων; βαθιά ενισχυτική μάθηση; περιβάλλοντα και benchmarks,ναι,Συγχρονισμός από canonical analysis.,Robust Adversarial Reinforcement Learning,https://proceedings.mlr.press/v70/pinto17a/pinto17a.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-211B10ADBA,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Σχετικές εργασίες; Generalization taxonomy,generalization; overfitting; exploration; MDP components,ναι,Formal taxonomy της γενίκευσης· survey και όχι πρωτογενής εμπειρική απόδειξη.,A Survey Analyzing Generalization in Deep Reinforcement Learning,https://arxiv.org/abs/2401.02349,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-21EBE15D15,κύρια,επαληθευμένη,Θεωρητικό υπόβαθρο; Πειραματικό περιβάλλον; Train-test protocol; Μετρικές; Threats to validity,zero-shot generalization; contextual MDP; controllable factors; PCG; interpolation; extrapolation,ναι,Διαχωρίζει frozen-policy zero-shot testing από online adaptation/recovery και ορίζει environment-plus-protocol benchmark design.,A Survey of Zero-shot Generalisation in Deep Reinforcement Learning,https://arxiv.org/abs/2111.09794,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-23A2C07D09,υποστηρικτική,επαληθευμένη,Σχετικές εργασίες; Agent architectures; Safety mechanisms; Πειραματικό πρωτόκολλο; Threats to validity,runtime assurance; simplex; monitor; trusted fallback; intervention delay; formal verification,ναι,Τεκμηριώνει shield/fallback architecture· δεν αποτελεί learning ή resilience mechanism και απαιτεί χωριστή αναφορά interventions.,A Formal Verification Framework for Runtime Assurance - NASA Technical Reports Server (NTRS),https://ntrs.nasa.gov/citations/20230017350,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-23E79861CF,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Model ambiguity; Context library; Online belief update; Trade-offs,MPOMDP; model belief; candidate models; partial observability; weighted value; misspecification,ναι,Formal υπόβαθρο για model/context library με belief weighting και σύγκριση hard selection έναντι worst-case fallback.,Multi-model Partially Observable Markov Decision Processes - Optimization Online,https://optimization-online.org/wp-content/uploads/2023/04/MPOMDP_INFORMS_JOC_OptOnline_copy-2.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-2455B5D0A7,υποστηρικτική,επαληθευμένη,Σχετικές εργασίες; Πειραματικό πρωτόκολλο; Online adaptation; Threats to validity,test-time adaptation; online adaptation; streaming data; error accumulation; catastrophic forgetting,ναι,Χρήσιμη για adaptation regimes και leakage controls· η supervised taxonomy δεν μεταφέρεται αυτούσια σε RL.,A Comprehensive Survey on Test-Time Adaptation under Distribution Shifts,https://arxiv.org/abs/2303.15361,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-2C9FFED27E,υποστηρικτική,επαληθευμένη,Safe RL; Robust constraints; Policy optimization; Computational trade-offs; Threats to validity,RCMDP; RNPG; robust feasibility; constraint violation; model mismatch; iteration complexity,ναι,Canonical NeurIPS πηγή για robust feasibility και χωριστή worst-case αξιολόγηση task/constraints· δεν είναι adaptation mechanism.,Efficient Policy Optimization in Robust Constrained MDPs with Iteration Complexity Guarantees - NIPS,https://proceedings.neurips.cc/paper_files/paper/2025/file/0d7a32dbc94af8193b9bb9e798e4f4a8-Paper-Conference.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-32A0866AF8,υπόβαθρο,επαληθευμένη,,μη στασιμότητα; πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση,ναι,Συγχρονισμός από canonical analysis.,https---eclass.uoa.gr-modules-document-file.php-DI437-1312.5602.pdf,https://eclass.uoa.gr/modules/document/file.php/DI437/1312.5602.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-3856071502,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Σχετικές εργασίες; Μεθοδολογία,online changepoint detection; Bayesian uncertainty; run length; hazard function,ναι,Υποστηρικτική μέθοδος detection· δεν αποτελεί adaptation ή resilience algorithm.,Bayesian Online Changepoint Detection,https://arxiv.org/abs/0710.3742,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-3A5E2C9E2C,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Σχετικές εργασίες; Πειραματικό πρωτόκολλο; Μετρικές; Threats to validity,safe reinforcement learning; CMDP; safety cost; constraint violations; GridWorld,ναι,"Διαχωρίζει safety από robustness/resilience και επιβάλλει κοινή αναφορά utility, cost, violations και recovery.","A Review of Safe Reinforcement Learning: Methods, Theory and Applications",https://arxiv.org/abs/2205.10330,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-3BF9404CC3,υποστηρικτική,επαληθευμένη,Safe RL; Recovery controllers; Agent architecture; Intervention diagnostics; Threats to validity,safety critic; recovery policy; action disagreement; oscillation; auxiliary reward; controller delay,ναι,Τεκμηριώνει controller-conflict και oscillation diagnostics· safe-state recovery δεν ισοδυναμεί με post-change policy recovery.,Learning to Recover for Safe Reinforcement Learning,https://arxiv.org/abs/2309.11907,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-3C0F7CC819,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Robust baselines; Tabular RL; Trade-offs; Threats to validity,robust Q-learning; online uncertainty-set estimation; model uncertainty; incremental update; conservativeness,ναι,Incremental tabular robust-Q feasibility source· δεν είναι change detector ή repeated-change adaptation method.,Online Robust Reinforcement Learning with Model Uncertainty,https://arxiv.org/abs/2109.14523,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-3C543330E4,υπόβαθρο,επαληθευμένη,Θεωρητικό υπόβαθρο; Non-stationarity; Computational trade-offs; Adaptive baselines; Threats to validity,local MDP change; computational lower bound; SETH; restart; exploration; Lazy-QVI,ναι,Θεωρητικό rationale ότι μικρές αλλαγές μπορεί να έχουν global update cost· υποστηρίζει comparison continual-update versus restart χωρίς να αποδεικνύει empirical superiority.,https---proceedings.mlr.press-v237-peng24a-peng24a.pdf,https://proceedings.mlr.press/v237/peng24a/peng24a.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-3EA1176D3A,κύρια,επαληθευμένη,Θεωρητικό υπόβαθρο; Ορισμοί; Robust baselines; Πειραματικά scenarios,robustness; resilience; static uncertainty; dynamic uncertainty; robust MDP; GridWorld,ναι,Κεντρική πηγή για τη διάκριση robustness χωρίς update από resilience μέσω continued learning.,Solving robust MDPs as a sequence of static RL problems,https://arxiv.org/abs/2410.06212,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-3F84F52F97,κύρια,επαληθευμένη,Θεωρητικό υπόβαθρο; Σχετικές εργασίες; Generalization protocol; GridWorld specification; Threats to validity,contextual MDP; explicit context; hidden context; ID; OOD; context distributions,ναι,"Θεμελιώνει resolved context variables, reproducible train/test distributions και τη διάκριση static generalization από online recovery.",CARL: A Benchmark for Contextual and Adaptive Reinforcement Learning,https://arxiv.org/abs/2110.02102,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-4000D2B40A,κύρια,επαληθευμένη,Πειραματικός σχεδιασμός; Benchmark architecture; Μετρικές; Αναπαραγωγιμότητα; Threats to validity,behavioural unit tests; diagnostic experiments; severity scaling; interaction budget; reproducibility,ναι,Θεμελιώνει decomposition σε targeted diagnostics και environment–interaction–analysis protocols αντί ενός aggregate leaderboard.,Behaviour Suite for Reinforcement Learning,https://arxiv.org/abs/1908.03568,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-46CF36BC1E,υποστηρικτική,επαληθευμένη,,βαθιά ενισχυτική μάθηση,ναι,Συγχρονισμός από canonical analysis.,The Primacy Bias in Deep Reinforcement Learning,https://proceedings.mlr.press/v162/nikishin22a.html,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-486FAE4C93,υπόβαθρο,επαληθευμένη,Trustworthiness; Risk framing; Evaluation governance,AI RMF; valid and reliable; safe; secure and resilient; measure,ναι,Θεσμικό background· δεν ορίζει RL resilience metrics ή algorithm.,Artificial Intelligence Risk Management Framework (AI RMF 1.0) NIST AI 100-1,https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-4B456A9363,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Adaptive baselines; Μετρικές; Hyperparameter protocol; Threats to validity,sliding window; stale data; recency; dynamic regret; variation budget; function approximation,ναι,Θεμελιώνει recent-memory mechanisms και το window bias–variance trade-off· ο πλήρης SW-OPEA δεν αποτελεί προεπιλεγμένη υλοποίηση.,https---proceedings.mlr.press-v202-feng23e-feng23e.pdf,https://proceedings.mlr.press/v202/feng23e/feng23e.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-4C34DF3E17,κύρια,επαληθευμένη,,μη στασιμότητα; βαθιά ενισχυτική μάθηση; συνεχής προσαρμογή,ναι,Συγχρονισμός από canonical analysis.,Loss of plasticity in deep continual learning,https://doi.org/10.1038/s41586-024-07711-7,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-4D2B7DDC38,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Coverage; Generalization; Robust RL; Threats to validity,distributionally robust RL; interactive data; support shift; coverage; TV uncertainty set; sample complexity,ναι,Κεντρικό limitation evidence ότι fixed-environment interaction δεν καλύπτει out-of-support structural shifts.,Distributionally Robust Reinforcement Learning with Interactive Data Collection: Fundamental Hardness and Near-Optimal Algorithms,https://arxiv.org/abs/2404.03578,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-4E5300CD15,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Robust MDPs; Model uncertainty; Online planning; Μετρικές; Trade-offs; Threats to validity,robust sparse sampling; generative model; Total Variation; model misspecification; conservativeness; failure rate,ναι,Robust online-planning evidence με bounded model error· δεν είναι change detector ή continued-learning adaptation mechanism.,Online Robust Planning Under Model Uncertainty: A Sample-Based Approach,https://ojs.aaai.org/index.php/AAAI/article/view/40959/44920,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-4ED8B918E3,κύρια,επαληθευμένη,,στατιστική αξιολόγηση,ναι,Συγχρονισμός από canonical analysis.,Empirical Design in Reinforcement Learning,https://jmlr.org/papers/volume25/23-0183/23-0183.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-52E62452B8,κύρια,επαληθευμένη,Θεωρητικό υπόβαθρο; Robust MDPs; Baselines; Trade-offs; Threats to validity,robust MDP; uncertain transition matrices; rectangular uncertainty; robust dynamic programming; conservativeness,ναι,Θεμελιώδης πηγή robust-MDP semantics και robust Bellman baseline· διαχωρίζει worst-case model uncertainty από online resilience.,https---people.eecs.berkeley.edu-~elghaoui-Pubs-RobMDP OR2005.pdf,https://people.eecs.berkeley.edu/~elghaoui/Pubs/RobMDP_OR2005.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-5775601BD7,κύρια,επαληθευμένη,Σχετικές εργασίες; Continual learning; Repeated changes; Baselines; Μετρικές; Threats to validity,loss of plasticity; catastrophic interference; repeated visits; reset baseline; activation collapse; relearning,ναι,Κεντρική πηγή για τη διάκριση forgetting από loss of plasticity και για recovery diagnostics ανά repeated regime occurrence.,https---proceedings.mlr.press-v232-abbas23a-abbas23a.pdf,https://proceedings.mlr.press/v232/abbas23a/abbas23a.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-5D0E7E5BD7,κύρια,επαληθευμένη,,βαθιά ενισχυτική μάθηση,ναι,Συγχρονισμός από canonical analysis.,Implementation Matters in Deep Policy Gradients: A Case Study on PPO and TRPO,https://arxiv.org/abs/2005.12729,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-5E062C81BA,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Robust RL; Zero-update evaluation; Trade-offs; Threats to validity,H-infinity; actor-disturber-critic; worst disturbance; model mismatch; parameter shift; frozen robustness,ναι,Historical primary evidence για pre-trained worst-case robustness· απαιτεί διάκριση immediate frozen performance από post-change adaptation.,https---proceedings.nips.cc-paper files-paper-2000-file-e8dfff4676a47048d6f0c4ef899593dd-Paper.pdf,https://proceedings.nips.cc/paper_files/paper/2000/file/e8dfff4676a47048d6f0c4ef899593dd-Paper.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-6126015212,υποστηρικτική,επαληθευμένη,Safe RL; Reachability; Returnability; Exploration; Μετρικές; Threats to validity,SNO-MDP; safe set; reachability; returnability; GP safety; early stopping,ναι,Τεκμηριώνει ότι local safety δεν αρκεί χωρίς safe return path· structural changes απαιτούν επανέλεγχο returnability.,https---proceedings.mlr.press-v119-wachi20a-wachi20a.pdf,https://proceedings.mlr.press/v119/wachi20a/wachi20a.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-620F17076C,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Observation uncertainty; Robust baselines; Πειραματικά scenarios; Μετρικές; Threats to validity,true state; observed state; SA-MDP; adversarial observation; policy smoothness; action consistency,ναι,Τεκμηριώνει worst-case observation robustness και τη διάκριση observation corruption από dynamics/action perturbation· δεν ισοδυναμεί με ordinary stochastic noise ή recovery.,Robust Deep Reinforcement Learning against Adversarial Perturbations on State Observations,https://arxiv.org/abs/2003.08938,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-62996FD690,υποστηρικτική,επαληθευμένη,Detection baselines; OOD diagnostics; Neural uncertainty; Μετρικές; Threats to validity,epistemic uncertainty; OOD; bootstrap; MC dropout; GridWorld; calibration,ναι,RL-specific neural OOD evidence· static uncertainty separation δεν θεωρείται sequential changepoint detection χωρίς false-alarm/delay validation.,Uncertainty-Based Out-of-Distribution Detection in Deep Reinforcement Learning,https://arxiv.org/abs/1901.02219,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-630F83DAD7,κύρια,επαληθευμένη,,βαθιά ενισχυτική μάθηση; περιβάλλοντα και benchmarks,ναι,Συγχρονισμός από canonical analysis.,Leveraging Procedural Generation to Benchmark Reinforcement Learning,https://arxiv.org/abs/1912.01588,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-660560956D,κύρια,επαληθευμένη,Σχετικές εργασίες; Taxonomy αλλαγών; Πειραματικό περιβάλλον; Adaptive baselines; Μετρικές; Threats to validity,repeated reward shifts; abrupt change; gradual drift; reactive exploration; replay contamination; context recall,ναι,"Κεντρική εμπειρική πηγή για repeated reward/observation/dynamics shifts, exploration reset και replay failure modes· deep ICM παραμένει feasibility candidate.",https---proceedings.mlr.press-v199-steinparz22a-steinparz22a.pdf,https://proceedings.mlr.press/v199/steinparz22a/steinparz22a.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-6609D86CD5,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Recurring regimes; Context memory; Baselines; Threats to validity,nonstationary RL; hidden modes; repeated dynamics; recency; context recall; POMDP,ναι,Ιστορικό rationale για recency-only relearning έναντι explicit memory όταν επανέρχονται προηγούμενα regimes· abstract-level evidence.,Reinforcement learning in nonstationary environments,https://doi.org/10.14711/thesis-b655883,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-67AB8572A9,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Agent taxonomy; Transfer metrics; Context recall; Threats to validity,transfer learning; continual learning; generalization; context recall; negative transfer; mastery,ναι,"Διακρίνει transfer, continual adaptation, zero-shot generalization και recall και απαιτεί no-transfer comparator για negative transfer.",Transfer Learning in Deep Reinforcement Learning: A Survey,https://arxiv.org/abs/2009.07888,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-69D02D7E25,κύρια,επαληθευμένη,,GridWorld,ναι,Συγχρονισμός από canonical analysis.,Time Limits in Reinforcement Learning,https://proceedings.mlr.press/v80/pardo18a.html,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-6E7AFA8AC0,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Robust baselines; Sample complexity; Trade-offs; Threats to validity,robust MDP; sample complexity; rectangularity; L1; chi-square; KL; uncertainty radius,ναι,Τεκμηριώνει dependence των robust guarantees από ambiguity-set family/radius/rectangularity· αφορά model mismatch και όχι recovery.,https---zhangliangyu32.github.io-files-papers-RobustMDP2022.pdf,https://zhangliangyu32.github.io/files/papers/RobustMDP2022.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-6F4B8E8DCE,υποστηρικτική,επαληθευμένη,Safe RL; Safe exploration; Constraint modeling; Μετρικές; Threats to validity,GSE; MASE; instantaneous safety; emergency stop; uncertainty quantifier; GridWorld,ναι,Ενοποιεί αυστηρές safe-exploration formulations και κάνει explicit το emergency-stop/prior capability· safety guarantee δεν ισοδυναμεί με changepoint adaptation.,Safe Exploration in Reinforcement Learning: A Generalized Formulation and Algorithms,https://arxiv.org/abs/2310.03225,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-6F4F8BE003,υποστηρικτική,επαληθευμένη,,μη στασιμότητα; συνεχής προσαρμογή,ναι,Συγχρονισμός από canonical analysis.,Online Reinforcement Learning in Non-Stationary Context-Driven Environments,https://proceedings.iclr.cc/paper_files/paper/2025/hash/fb21dae9e8710a272c0a0ca848f71553-Abstract-Conference.html,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-701E163AC8,υπόβαθρο,επαληθευμένη,,μη στασιμότητα; πινακοποιημένη ενισχυτική μάθηση,ναι,Συγχρονισμός από canonical analysis.,http---incompleteideas.net-book-RLbook2020.pdf,http://incompleteideas.net/book/RLbook2020.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-702F9AB94C,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Contextual non-stationarity; Σχετικές εργασίες; Agent taxonomy; Train-test protocol; Threats to validity,block contextual MDP; hidden context; zero-shot inference; interpolation; extrapolation; identifiability,ναι,Διακρίνει history-conditioned zero-shot context inference από online learning και τεκμηριώνει τα όρια smooth/identifiable task families.,https---proceedings.mlr.press-v168-sodhani22a-sodhani22a.pdf,https://proceedings.mlr.press/v168/sodhani22a/sodhani22a.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-70772C0629,υποστηρικτική,επαληθευμένη,,μη στασιμότητα; πινακοποιημένη ενισχυτική μάθηση,ναι,Συγχρονισμός από canonical analysis.,Reinforcement Learning in Switching Non-Stationary Markov Decision Processes: Algorithms and Convergence Analysis,https://arxiv.org/abs/2503.18607,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-70AEC665B2,υποστηρικτική,επαληθευμένη,Neural detection; Calibration; Μετρικές; Hyperparameter protocol; Threats to validity,calibration; ECE; MCE; reliability diagram; temperature scaling; confidence,ναι,Μόνο για neural context/detector arm· confidence δεν ερμηνεύεται ως probability χωρίς held-out calibration.,https---proceedings.mlr.press-v70-guo17a-guo17a.pdf,https://proceedings.mlr.press/v70/guo17a/guo17a.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-71F2ECA651,υπόβαθρο,επαληθευμένη,Θεωρητικό υπόβαθρο; Ιστορική εξέλιξη robust RL; Σχετικές εργασίες; Περιορισμοί,robust RL; minimax; H-infinity; model mismatch; disturbance,ναι,Ιστορική θεμελίωση worst-case robustness· δεν αποτελεί άμεσο μοντέλο προσαρμογής ή καταλληλότερο GridWorld baseline.,"Robust Reinforcement Learning (Morimoto & Doya, 2001)",https://homes.cs.washington.edu/~todorov/courses/amath579/MorimotoDoya.pdf,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-7313A97A30,υποστηρικτική,επαληθευμένη,Robust baselines; Uncertainty-set design; Tabular RL; Agent architectures; Trade-offs,practical uncertainty set; ARQ-Learning; pessimistic agent; robust Q-learning; conservativeness,ναι,Τεκμηριώνει sensitivity στο uncertainty-set specification και nominal–pessimistic ablation· abstract-level evidence.,On Practical Robust Reinforcement Learning: Practical Uncertainty Set and Double-Agent Algorithm,https://arxiv.org/abs/2305.06657,84d62ec3eb18e1d3565625bc02c289131282ea27
SRC-73C145D523,υποστηρικτική,επαληθευμένη,Safe RL; Recovery controllers; Dead-end diagnostics; Μετρικές; Threats to validity,dead ends; recovery policy; safety critic; behavior correction; conservativeness; interventions,ναι,Διαχωρίζει safety recovery από task recovery και εισάγει recoverable/dead-end diagnostics· offline pretraining δηλώνεται ως prior-data advantage.,Safe Reinforcement Learning with Dead-Ends Avoidance and Recovery,https://arxiv.org/abs/2306.13944,84d62ec3eb18e1d3565625bc02c289131282ea27
